"date","geography","geography code","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","N00000043 (Crumlin ward)","N00000043",841,173,105,179,27,130,196,31,48,44,24,6,14
"2011","N00000044 (Crumlin ward)","N00000044",223,85,37,35,8,24,28,6,10,15,5,3,7
"2011","N00000045 (Drumanaway ward)","N00000045",383,80,42,57,22,44,122,16,14,12,2,3,7
"2011","N00000046 (Drumanaway ward)","N00000046",313,94,38,43,15,40,73,10,11,12,2,0,10
"2011","N00000047 (Drumanaway ward)","N00000047",314,86,21,53,16,32,91,15,8,10,5,2,3
"2011","N00000048 (Drumanaway ward)","N00000048",240,85,34,52,12,21,24,12,11,6,5,0,1
"2011","N00000049 (Drumanaway ward)","N00000049",210,62,39,28,9,30,27,15,4,4,3,0,1
"2011","N00000050 (Drumanaway ward)","N00000050",254,67,31,37,16,21,76,6,5,8,4,0,4
"2011","N00000051 (Farranshane ward)","N00000051",231,100,30,34,5,21,21,20,5,8,2,2,4
"2011","N00000052 (Farranshane ward)","N00000052",245,71,38,39,15,30,39,13,11,7,3,1,3
"2011","N00000053 (Farranshane ward)","N00000053",208,61,42,38,6,12,28,21,7,11,5,5,1
"2011","N00000054 (Farranshane ward)","N00000054",195,67,22,36,4,27,28,11,4,5,3,1,1
"2011","N00000055 (Farranshane ward)","N00000055",229,90,36,44,8,20,23,8,6,10,3,4,3
"2011","N00000056 (Farranshane ward)","N00000056",239,108,23,34,13,20,25,16,3,5,4,0,1
"2011","N00000057 (Fountain Hill ward)","N00000057",197,79,33,43,7,13,10,12,9,6,2,2,2
"2011","N00000058 (Fountain Hill ward)","N00000058",198,61,33,31,4,19,32,18,7,5,3,0,2
"2011","N00000059 (Fountain Hill ward)","N00000059",178,74,29,28,4,17,18,8,3,6,2,1,3
"2011","N00000060 (Fountain Hill ward)","N00000060",306,125,60,46,9,30,25,11,6,7,3,0,4
"2011","N00000061 (Fountain Hill ward)","N00000061",238,57,27,26,11,20,80,17,5,11,5,0,6
"2011","N00000062 (Fountain Hill ward)","N00000062",299,51,24,38,14,44,122,6,10,15,6,2,7
"2011","N00000063 (Fountain Hill ward)","N00000063",356,155,42,47,10,28,52,22,10,17,10,0,7
