"date","geography","geography code","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 8. Process plant and machine operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value"
"2011","Dalbeattie - 01","S01007539",278,23,53,36,32,39,38,9,24,24
"2011","Dalbeattie - 02","S01007540",357,24,29,29,40,59,40,42,43,51
"2011","Dalbeattie - 03","S01007541",329,25,41,37,34,62,39,20,31,40
"2011","Dalbeattie - 04","S01007542",405,28,41,25,40,69,57,36,47,62
"2011","Dalbeattie - 05","S01007543",516,33,33,24,41,85,80,74,73,73
"2011","Dalbeattie Rural - 01","S01007544",410,55,76,44,30,86,36,22,23,38
"2011","Dalbeattie Rural - 02","S01007545",382,46,56,26,53,81,28,21,24,47
"2011","Dalbeattie Rural - 03","S01007546",284,28,49,23,38,60,21,12,19,34
"2011","Glenkens - 01","S01007547",302,30,50,31,23,70,26,15,17,40
"2011","Glenkens - 02","S01007548",333,28,52,26,34,64,42,22,37,28
"2011","Glenkens - 03","S01007549",247,29,41,25,25,38,24,23,18,24
"2011","Glenkens - 04","S01007550",361,42,68,37,29,55,26,15,41,48
"2011","Glenkens - 05","S01007551",433,49,74,41,36,115,36,14,21,47
"2011","Upper Nithsdale - 01","S01007552",384,24,19,28,27,71,46,28,79,62
"2011","Upper Nithsdale - 02","S01007553",316,13,23,23,26,41,42,21,80,47
"2011","Upper Nithsdale - 03","S01007554",133,5,7,3,9,21,20,9,43,16
"2011","Upper Nithsdale - 04","S01007555",237,16,38,21,20,46,27,8,32,29
"2011","Upper Nithsdale - 05","S01007556",201,12,15,15,12,35,32,22,33,25
"2011","Upper Nithsdale - 06","S01007557",457,22,22,32,37,67,54,46,97,80
"2011","Upper Nithsdale - 07","S01007558",189,28,22,19,17,46,14,11,16,16
"2011","Thornhill - 01","S01007559",382,33,65,43,30,86,29,24,18,54
"2011","Thornhill - 02","S01007560",410,43,48,44,46,61,40,30,46,52
"2011","Thornhill - 03","S01007561",279,17,31,23,30,45,43,19,29,42
"2011","Thornhill - 04","S01007562",394,38,61,41,31,75,40,17,26,65
"2011","Thornhill - 05","S01007563",392,37,77,45,37,68,33,22,27,46
"2011","Mid Nithsdale - 01","S01007564",379,29,65,46,34,79,28,28,25,45
"2011","Mid Nithsdale - 02","S01007565",446,35,72,38,38,87,56,38,41,41
"2011","Mid Nithsdale - 03","S01007566",349,30,40,30,33,79,39,22,35,41
"2011","Mid Nithsdale - 04","S01007567",318,27,48,35,32,76,31,16,24,29
"2011","Mid Nithsdale - 05","S01007568",342,44,62,36,36,46,29,20,35,34
"2011","Mid Nithsdale - 06","S01007569",395,33,47,34,28,94,34,32,38,55
"2011","Shawhead - 01","S01007570",340,34,68,39,26,49,40,22,24,38
"2011","Shawhead - 02","S01007571",287,41,56,30,25,50,20,16,19,30
"2011","Shawhead - 03","S01007572",421,43,50,43,51,68,47,34,33,52
"2011","Shawhead - 04","S01007573",534,52,103,88,45,63,54,42,40,47
"2011","Lochside and Lincluden - 01","S01007574",465,27,24,35,50,53,75,55,50,96
"2011","Lochside and Lincluden - 02","S01007575",336,15,21,28,25,40,44,45,49,69
